Type,Air_temperature__K_,Process_temperature__K_,Rotational_speed__rpm_,Torque__Nm_,Tool_wear__min_,Machine_failure
L,301.2,310.3,1548,38.6,59,0
L,299.1,310.4,1657,31,129,0
L,299.8,310.3,1687,30.4,33,0
L,297.4,308.5,1782,25.9,54,0
M,298.1,307.8,1636,36.7,51,0
L,298.7,309.9,1651,29.5,42,0
L,300.4,309.7,1488,35.7,177,0
L,300.5,311.5,1661,35.9,110,0
M,295.6,306.1,1418,46.2,24,0
L,302.3,311.7,1453,41.2,147,0
L,301.3,310.1,1531,41.6,9,0
L,297.9,309,1290,49.8,43,0
M,298.8,310.1,1501,48.7,192,0
H,301.6,310.5,1786,27.1,35,0
L,300.4,309.7,1679,30.1,136,0
L,299.7,309.3,1420,44.1,60,0
L,302.3,310.8,1723,26.3,213,0
H,304.1,313.2,1586,34.6,139,0
M,298.1,307.6,1764,27.7,23,0
M,298.7,310,1459,40.2,69,0
L,301.7,310.5,2465,13.7,149,0
L,301.8,310.7,1547,41.7,72,0
L,300.1,309.2,1441,42.9,148,0
L,296.8,307.9,1271,61.4,125,0
L,298.2,308.8,1540,34.8,32,0
L,302.2,311.2,1649,33.2,9,0
L,303.6,312.5,1345,54.1,126,0
L,297.8,309.7,1341,49.2,208,0
H,300.4,311.6,1715,30.8,203,0
L,302.8,310.9,1708,29.8,42,0
L,300,309.2,1610,32.1,150,0
L,297.4,308.4,1525,38.7,62,0
L,301,310.9,1679,29.8,64,0
L,296.9,307.9,1367,47.1,204,0
L,297.4,308.4,1571,39.4,0,0
L,301.9,311.1,1448,46.3,14,0
L,302.4,311.8,1543,31.1,96,0
L,298.8,308.6,1331,62.8,81,0
L,298,308.8,1496,44.9,179,0
M,299.1,310,1580,36,195,0
M,297.2,308.5,1584,40,4,0
M,296.1,306.9,1951,23.3,38,0
M,299.2,308.5,1526,37.3,135,0
L,302.1,310.5,1389,49.6,169,0
L,300.9,310.9,1749,26.4,40,0
L,299.2,308.5,1438,46.6,63,0
H,298.8,308.6,1449,49.4,150,0
L,300.8,310.8,1460,53.8,41,0
M,302.3,310.9,1523,43.2,210,0
L,303,311.2,1755,30.4,205,0
M,298.1,309.1,1572,37.5,126,0
L,301.4,310.3,2203,16.6,169,0
L,300.9,310.5,1616,33.5,25,0
L,299.5,310.7,1438,45.7,106,0
M,298.8,309.9,1741,27.7,50,0
L,298.2,308.4,1512,34.9,181,0
L,302.4,311.1,1880,24.5,156,0
L,302.2,310.7,1567,36.4,100,0
M,302.2,310.6,1355,51.5,126,1
M,298.5,308.6,1344,53,114,0
L,302.4,311.8,1448,43.4,141,0
M,303.5,312.9,1618,30.4,130,0
L,300.5,310.5,1695,26.7,28,0
L,298.2,307.8,1575,35,137,0
M,303.7,312.7,1612,36.3,200,0
M,298.8,309.6,1384,48.2,39,0
M,297.2,308.6,1404,43.7,160,0
L,301.2,310.6,1409,50.9,66,0
M,298.8,309.7,1453,47.7,101,0
L,302.7,311.7,1480,45.2,8,0
L,301,311.4,1481,37.5,193,0
H,301.1,312.2,1491,42.6,52,0
M,302.3,311.2,1454,43.8,112,0
M,297.3,308.4,1521,38.2,87,0
L,296.9,307.9,1535,39.2,133,0
M,299.3,308.8,1648,28.4,188,0
L,300,311.2,1418,47.3,60,0
L,301.8,310.6,1395,50.5,131,0
L,302.6,312.4,1398,41.6,40,0
L,301.3,310.6,1529,41.8,176,0
L,299.3,310.3,1396,47.4,14,0
H,297.4,308.4,1487,46.2,150,0
M,300.1,309.6,1376,52.1,147,0
M,297.4,309,1520,37,147,0
L,300.3,309.6,1593,38.1,140,0
M,299.7,309.1,1851,24.7,189,0
M,297.8,307.8,1622,32.1,18,0
M,301,310.7,1455,46.1,103,0
H,302,310.6,1346,54.7,196,0
L,301,311.1,1236,64.4,177,1
M,298.8,309.7,1589,35.3,149,0
M,302.2,311.4,1642,32.1,42,0
M,301.9,311.1,1380,51.6,184,0
M,298.9,309.8,1392,43.1,218,0
L,299.8,309.2,1504,38.7,212,0
M,299.9,309.3,1452,41.9,106,0
M,301,309.7,1511,39.3,146,0
M,297.2,308.3,1326,57.2,100,0
L,299.3,309,1422,47.3,25,0
L,300.8,310.6,1416,42.2,225,0
M,298.6,309.5,1580,33.9,70,0
L,303.5,313.1,1897,23.6,75,0
L,298.4,309.2,1335,53.5,168,0
M,302.2,311.7,1584,36.2,63,0
M,301.9,311.3,1522,35.6,63,0
L,300.3,311.4,1544,41.6,97,0
M,297.2,308.1,1554,41.3,147,0
M,298.8,310.1,1719,28.8,206,0
L,298.5,308.1,1662,28.6,48,0
M,298.6,309.7,1280,64.1,71,0
L,302.3,311,1446,37.6,75,0
L,300.3,309.9,1527,41.4,2,0
H,298.2,307.6,1460,48.6,204,0
L,300.7,310.8,1814,21.4,59,0
L,300.3,311.7,1406,47.5,14,0
L,300.5,311.4,1556,45.3,58,0
L,298,308,1615,29.5,15,0
M,300.4,309.5,1888,21.9,221,0
L,299.1,308.3,1305,61.4,17,0
H,299.6,309.1,1588,41.3,0,0
L,299.9,310.5,1539,32.8,213,0
L,298.3,309,1657,32.2,179,0
L,298.9,308.7,1572,34.1,80,0
L,298.4,308.2,1618,33,61,0
M,303.9,313.1,1343,61.4,14,0
L,302.3,311,1428,47.9,174,0
M,301.7,311,1510,47.8,27,0
M,297.8,307.8,1543,43.7,8,0
M,302.6,311.1,1520,43,88,0
L,301.4,310.7,1786,26.1,123,0
L,297.5,308.5,1530,38.5,93,0
M,302.5,310.4,1429,43.2,191,0
M,297.2,308.4,1863,26,110,0
L,298.8,309.9,1482,39.1,45,0
L,297.4,308.6,1411,46.3,138,0
L,302.2,311.7,1556,38.6,145,0
L,298.9,310.1,2109,18,61,0
H,297.3,308.6,1376,53.5,112,0
L,299.7,310.6,1675,31.3,129,0
M,300.4,311.7,1478,39.9,185,0
L,298.6,309.9,1593,37.4,47,0
L,298.7,310,1637,31.8,42,0
M,301.3,310.9,1512,36.9,159,0
M,303,312.3,1483,38.8,114,0
L,298.5,309.6,1462,45.1,115,0
L,303.9,313,1480,39.9,176,0
H,297.1,308.2,1527,42.2,199,0
M,301.7,309.9,1452,41.5,86,0
L,301.3,310.5,1337,52.7,106,0
M,298.1,307.9,1759,28.6,176,0
L,299.3,308.4,1406,47.4,3,0
M,300.8,310.5,1511,35.8,54,0
H,301,311.3,1597,39.2,66,0
L,301.5,310.9,1365,46.5,172,0
L,300.3,311.7,1515,37.5,5,0
M,302.3,311.2,1405,47.7,88,0
L,300.9,310.4,1615,30.9,200,0
M,297.7,308.9,1681,28.3,116,0
L,298.6,310,1517,39,4,0
H,304.1,313.4,1696,29.6,65,0
L,301,311.3,1349,47,71,0
L,299.3,309,1516,38.7,64,0
L,301.4,311.1,1494,41.9,142,0
L,300.7,311.8,1603,34.1,17,0
L,299.2,308.5,1490,43.2,158,0
L,304.5,313.7,1670,32.9,7,0
H,299.1,309.9,1443,40.3,0,0
L,302.3,311.2,1549,40.6,66,0
L,297.7,308.8,1616,34.2,114,0
M,301.8,310.8,1618,37.8,59,0
M,302.7,312.1,1564,32.1,188,0
M,297.6,308.8,1683,31.6,79,0
L,297.3,308.3,2188,17,32,0
M,297,307.9,1414,46.2,165,0
M,298.5,308,1713,25.8,154,0
H,301.2,312.4,1395,47.8,90,0
L,298,309.5,1496,45.8,46,0
L,302.3,311.7,1465,43.5,117,0
L,298.4,308.6,1477,44,124,0
L,298.1,307.9,1425,58.2,57,0
L,300.5,311.4,1432,47.5,51,0
L,298.4,309.3,1531,37.4,16,0
L,303.3,311.6,1301,45.1,219,1
M,297.4,309.1,1582,35.9,180,0
L,300.9,310.4,1788,27.8,90,0
L,302.4,311.2,1448,50.5,53,0
M,298.9,309.2,1581,36.7,101,0
M,301.5,310.8,1452,44.1,157,0
L,300.3,309.2,1532,40.2,194,0
L,300.4,310,1282,66.1,40,0
L,299.1,310.4,1594,33.3,147,0
L,298,308.1,1877,24.3,0,0
L,296.2,307.2,1382,52,201,0
L,301.3,310.8,1719,29.5,62,0
L,303.5,312.5,1380,46.1,166,0
M,298.8,308.7,1446,45.5,49,0
L,302.6,312.1,1288,68.5,0,1
L,301.4,311,1701,28.4,127,0
M,297,307.9,1422,53,115,0
M,299.7,310.5,1594,35.4,134,0
L,297.3,308.2,1396,52.7,212,1
L,303.3,311.5,1412,55.6,67,0
M,302.9,312.4,1659,33.1,152,0
M,298.1,308.5,1463,45.9,3,0
M,300.2,310.3,1704,29.2,42,0
M,300.8,311.2,1592,32.9,82,0
L,300.6,310.2,1447,45.9,17,0
M,302.2,311.4,1538,37.4,37,0
M,302.1,310.6,1517,38.9,2,0
M,300.1,309.6,1501,38,157,0
L,300,311.2,1504,37.9,58,0
L,300.7,310.8,1597,30.5,38,0
H,298.8,310.2,1663,30.4,209,0
L,303.9,312.6,1426,53.4,172,0
M,302.2,310.9,1302,53.4,58,0
M,303.5,312.3,1593,35.2,29,0
L,295.9,306.6,1678,26.7,53,0
L,300.6,311.9,1425,44.9,224,0
L,298.9,308.7,1356,50.7,185,0
L,302,311,1550,35.2,184,0
M,298.9,308.6,1524,40.4,131,0
L,299.1,308.2,1319,60.3,36,0
L,301.2,310.4,1515,38.4,51,0
M,298.9,310.2,1331,49,121,0
M,300.2,309.4,1433,48.8,191,0
M,301.1,310.5,1309,60.7,100,0
L,301,310.9,1404,41.8,71,0
L,300.7,310,1672,29.7,176,0
M,302.1,311,1351,60.3,207,1
L,296.7,307.9,1743,27.9,55,0
H,297.4,309.3,1516,43,83,0
L,303.4,312,1521,35.9,215,1
L,298.5,308.3,1458,44,44,0
M,298.5,309.3,1615,31.8,23,0
M,298.6,309.6,1525,42.4,2,0
L,297.4,309.2,1620,33.2,28,0
L,300.7,310.5,1445,41.1,201,0
L,300.9,309.5,1612,35.2,124,0
M,301,311.5,1530,43.9,165,0
L,300.8,309.6,1680,28.7,22,0
M,303.6,312.8,1825,25.2,29,0
L,298.1,308.8,1432,43.4,68,0
L,299.9,310.4,1328,49.9,206,0
L,301.5,310.7,1596,35.4,150,0
M,302.3,310.9,1558,31.9,207,0
H,300.3,311.9,1390,49,194,0
M,298.1,308.7,1547,38.9,0,0
M,298,307.6,1581,43.4,113,0
L,300.5,311.5,1651,36.9,65,0
M,300.8,309.4,1342,62.4,113,1
M,298.6,309.5,1404,43.3,33,0
L,301.2,310.9,1467,37.1,153,0
L,298.9,308.3,1432,48.9,38,0
M,301.7,311,1537,33.5,146,0
L,298,308.5,1713,25.3,124,0
L,304.2,313.6,1411,46,149,0
M,301,310.4,1517,46.1,145,0
M,300.7,310.7,1343,51.6,211,0
L,298.2,307.9,1769,27.2,188,0
H,300.1,309.1,1560,35.4,14,0
L,300.7,310.6,1288,47.2,216,0
M,301.2,312.4,1428,36.6,99,0
L,302.1,310.1,1447,46.6,169,0
M,302.6,310.5,1524,33.7,204,0
M,300.7,311.3,1562,37.1,58,0
M,297.4,308.5,1600,42.1,190,0
H,300.4,309.6,1416,43.3,66,0
M,303.3,311.5,1373,47.3,60,1
L,296.6,307.7,1556,37.7,110,0
M,299.3,308.5,1386,42.2,30,0
L,298.1,308.9,2136,15.9,78,0
M,299.3,309.2,1334,46.3,31,0
M,300,309.6,1587,32.6,152,0
L,296.6,307.4,1521,38.6,173,0
L,300.9,310.7,1573,31.2,2,0
H,296.9,307.8,1549,37.8,104,0
L,300,309.8,1372,39.6,105,0
M,298.5,308.7,1615,33.3,41,0
L,299.3,310.6,1443,45.7,97,0
L,299.7,310.8,1589,36,190,0
L,297.4,308.2,1419,50,52,0
M,297.5,308.3,1459,45.2,34,0
M,299.8,309.6,1434,48,82,0
L,303.4,312.3,1540,38.7,96,0
L,303.5,312.1,1674,30.8,0,0
M,297.2,307.9,1530,35.9,197,0
L,300.3,309.2,1412,44.8,200,0
H,299.4,309.1,1373,44.1,81,0
L,298.3,309.4,1356,45.4,96,0
L,299.8,309.1,1772,24.8,113,0
H,297.6,308.6,1480,39.8,19,0
L,301.4,310.5,1647,33.3,85,0
L,299.7,309.6,1359,50.7,161,0
M,302.3,311.4,1571,32.7,17,0
L,302,310.4,1448,43.4,167,0
L,303.9,313.1,1586,31.9,108,0
L,300.4,311.8,1405,47.9,58,0
L,300.5,311.9,1710,28.4,158,0
M,299,310.4,1394,45.2,122,0
L,300.6,311.1,1471,40.7,26,0
L,300.8,311.9,1414,41.1,171,0
L,303.7,312.8,1627,31.7,40,0
M,303,312.4,1526,36.1,142,0
L,300.3,309.8,1523,39.2,24,0
M,298.1,307.6,1565,36.3,140,0
M,300.6,309.4,1312,45.2,73,0
L,302.3,311.3,1324,47.8,131,0
L,300.4,309.6,1543,38.1,209,0
L,300.6,310.1,1541,42,23,0
L,301,311.1,1615,35.6,158,0
M,302.3,310.9,1762,24.5,73,0
L,301.4,310.9,1536,38.3,9,0
M,300.7,311.7,1499,38.9,3,0
M,298.9,310.3,1551,35.2,50,0
L,301.3,310.8,1531,53.4,57,0
L,298.2,307.9,1785,23.4,181,0
L,302.1,311.4,1549,44.6,31,0
L,297.5,308.4,1511,42.8,209,0
L,299.5,309.3,1520,42.3,149,0
H,298,307.6,1420,45.8,150,0
M,298.7,310.1,1693,31.9,51,0
L,301.1,311.4,1531,38.7,55,0
M,300.1,309.2,1454,44.4,19,0
L,298.3,309.6,1420,44.1,197,0
M,301.1,310.5,1603,32.6,121,0
L,297.1,308.4,1543,39.6,205,0
L,302.6,311,1610,39.2,152,0
L,301.5,310.5,1611,33.8,144,0
L,298.8,310.2,1814,26.8,204,0
L,301,310.9,1740,28.9,129,0
L,301.7,310.2,1471,51.1,8,0
L,300.8,311.7,1397,43.5,227,0
L,297.1,307.9,1496,44.7,88,0
L,298.8,309.9,1568,33.7,13,0
L,298.9,309.8,1287,61.9,216,1
M,300.5,309.8,1416,48.5,110,0
L,297.8,307.2,1351,56.3,174,0
L,300.9,310.7,1523,35.8,205,0
L,298.5,308.9,1781,27.8,113,0
L,297.4,309.2,1428,38.8,26,0
L,299.3,310.5,1818,26,102,0
M,297.4,308.7,1392,46.4,174,0
L,303.5,312,1441,56.8,88,0
M,298.3,309.1,1404,47,15,0
L,298.9,308.6,1560,32.2,118,0
M,299.7,309.1,1603,38.5,170,0
L,301.3,311.1,1303,49.2,212,0
M,301,309.6,1397,48,135,0
M,303.4,311.4,1307,54,44,1
M,299.5,310.9,1378,48.7,119,0
M,298.4,307.8,1617,31.6,173,0
M,304.1,313.2,1510,46.9,152,0
L,298.4,308,1508,47.9,25,0
L,300.2,311.6,1606,31,199,0
M,298,308.2,1395,49.1,206,0
M,300.4,309.4,1875,23.9,155,0
M,295.4,305.8,1526,38.2,181,0
M,297.5,309.4,1391,58.2,34,0
L,299.5,310,1502,38.5,52,0
M,300.4,310.6,1545,35.6,16,0
L,300.5,310.5,1373,47.4,56,0
L,302.7,310.5,1446,40.9,211,1
L,298.6,309.4,2312,15.5,44,0
L,301.6,311.2,1408,42.9,89,0
H,298.6,308.2,1555,36.8,36,0
M,297.4,309.4,1539,42.2,134,0
L,299.8,309.6,1447,43.1,12,0
H,300.4,311.4,1427,50.7,122,0
M,302.3,311.7,1535,38.3,5,0
L,302.8,312.1,1958,20.3,56,0
M,304,312.7,1456,51.2,160,0
M,302.4,310.1,1577,35.8,136,0
L,301.4,310.4,1436,49.7,108,0
L,297.5,308.5,1462,52.3,148,0
L,300.5,311,1759,28.3,13,0
M,302.1,311.5,1635,31.6,23,0
M,300.6,309.8,1659,28.9,127,0
L,300.7,310.7,1450,43.4,80,0
L,299.4,310.7,1426,45.7,213,0
M,299,310.3,1662,33.6,67,0
M,301.9,311.1,1417,52.5,171,0
L,297.3,308.3,1268,60.6,119,0
L,299.2,308.4,1350,51.3,96,0
L,299.9,311.4,1706,28.8,111,0
M,300.8,312,1274,67.3,159,0
M,300.7,309.5,1352,44,126,0
M,298.2,308.3,1448,43.3,199,0
L,301.1,311.3,1498,37.6,11,0
M,298.1,308.8,1394,47.9,70,0
L,302.7,310.7,1369,47.5,11,1
L,301.3,310.4,1507,39.1,194,0
L,301.5,310.5,1466,48.1,189,0
L,296.8,307.9,1718,25.2,148,0
L,300.1,310.6,1809,24.3,97,0
M,299.1,310.3,1441,43.9,94,0
M,300.9,310.9,1636,35.3,153,0
L,300.3,311.4,1471,37,114,0
M,301.1,310.2,1850,27.7,44,0
L,299.6,311,1554,36.3,62,0
M,302.3,311.1,1338,53.3,63,0
H,298.8,310,1530,38.3,53,0
L,299.3,309.3,1528,37.8,45,0
L,303,312.5,1626,30.5,87,0
M,298.3,308.5,1434,46.2,148,0
M,302.9,312.5,1924,24,17,0
H,300.7,311.9,1389,46.5,186,0
M,299.1,309.5,1339,48.2,86,0
L,302.2,310.6,1346,47.5,109,1
L,301.5,310.5,1528,35.7,198,0
M,301.8,310.7,1429,47.9,53,0
L,297.7,308.8,1896,24.5,186,0
M,300.2,310.1,1550,38.7,45,0
H,295.7,306.2,2161,16.5,105,0
M,302.5,310.4,1605,36,69,0
L,298,308.2,1442,44.1,204,0
M,301.6,310.7,1457,47.8,7,0
L,297.5,308.7,1761,26.2,164,0
M,297.4,308.4,1620,35.8,215,0
L,299.8,309.4,1633,27.5,29,0
H,302.3,310.8,1438,43.8,119,0
L,300.5,309.9,1443,48.3,122,0
L,303.5,311.8,1451,45.2,173,0
H,298.8,310.1,1483,45.4,192,0
L,301.8,310.6,2672,11.8,124,1
L,296.2,307.3,1881,24.3,40,0
L,296.7,307.8,1400,47.5,3,0
M,298.1,309.4,1362,47.6,70,0
L,297.8,307.3,1438,44.5,3,0
L,297,307.7,1502,39.4,126,0
L,300.3,309.9,1540,39.9,203,0
M,298.2,307.9,1462,38.8,124,0
L,300.1,311.4,1484,43.1,13,0
L,300.7,310.5,1561,33.2,48,0
L,302.6,311,1520,42.8,148,0
L,297.7,308.9,1575,39.9,12,0
M,303.5,312.7,2116,16.7,45,0
H,299.3,310.4,1548,41.6,25,0
L,298.7,309.9,1621,34.1,130,0
L,300.9,311,1438,49,61,0
L,299.6,310.1,1487,42.9,42,0
M,300.7,310.6,1439,41.7,184,0
M,303.2,311.5,1336,58.2,2,1
L,304.3,313.5,2643,12.7,21,0
M,303.1,312.5,1766,26.7,157,0
M,296.6,307.7,1474,52.6,101,0
L,298.6,309.3,1702,27.6,143,0
M,297.5,308.8,1471,52.3,152,0
M,298.6,309.6,1344,59.4,200,0
M,301.2,311.1,1574,34.3,4,0
L,301.4,310.5,1571,33.9,208,0
M,300.8,310.1,1686,26.9,128,0
L,301.9,310.8,1906,21.7,62,0
L,301.9,310.4,1518,34.1,155,0
L,299.6,309.2,1713,26.5,167,0
M,302.2,311.1,1434,58.6,102,0
L,298,309.9,1403,47.7,43,0
H,297.4,308.7,1349,48.9,120,0
L,302.9,312.3,1435,47.7,173,0
L,302.2,310.1,1458,45.1,15,0
L,298.9,310.1,1361,51.7,192,0
M,301.8,311.1,1395,44.6,171,0
L,298.8,309.8,1463,40,90,0
M,300.5,309.8,1370,55.9,143,0
L,302.7,310.7,1433,43.7,13,0
L,297.8,307.7,1505,39.7,25,0
M,297.3,308.3,1301,39.6,5,0
L,297.5,308.8,1530,37.8,157,0
L,299.9,311.3,1535,38.1,160,0
M,300,311.4,1533,42.6,180,0
H,297.4,308.7,1323,51.1,130,0
M,300.6,312.1,1293,52.3,49,0
L,302,310.7,1698,28.1,39,0
L,300.2,311.6,1671,28.8,149,0
M,302.5,310.4,1451,53.6,194,0
L,300.9,309.6,1384,42.4,131,0
H,297.3,308.7,1569,33.9,93,0
L,298.7,309.5,1446,40,160,0
M,300,309.7,1652,28.6,112,0
L,301.3,310.3,1460,41.5,197,0
H,300.6,309.6,1888,20.5,133,0
L,296,306.7,1917,21,127,0
L,299.4,308.7,1553,42.7,128,0
L,298,308.9,1508,37.1,92,0
M,298.3,308.8,1349,52.1,104,0
L,302.4,310.2,1445,46.4,125,0
L,297.6,309.1,1449,49.1,174,0
M,302.4,311.1,1432,44.5,195,0
M,297.9,307.5,1642,32.4,126,0
L,300.5,309.5,1795,27.7,117,0
M,301.4,311.2,1727,26.5,43,0
L,300.3,309.2,1462,51.4,48,0
L,301.8,310,1642,32.6,201,0
L,301.4,311,1733,25.7,182,0
M,301.3,311.5,1648,32.4,0,0
L,299.8,309.1,1485,39.9,207,0
M,300.2,309.5,1642,28.8,92,0
L,302.2,311.5,1427,43.8,88,0
L,302.6,311,2001,20.7,137,0
L,303.6,312.9,1381,57.8,27,0
H,302.1,310.1,1844,24.6,171,0
M,300.3,309.8,1617,40.8,158,0
L,298.6,309.7,1703,26.1,5,0
L,297.3,308.2,1446,53.5,7,0
H,298.2,308.8,1606,39.9,53,0
L,302.3,311.4,1504,38.7,65,0
L,298.8,309.6,1890,24,173,0
M,300.2,309.4,1752,27.8,208,0
L,302.4,311.8,1416,46.1,202,0
L,300.2,309.7,1421,44.6,17,0
M,303.9,313.4,1464,49.1,171,0
H,298.3,309.6,1546,36.2,177,0
M,297.5,307.9,1544,37.9,136,0
H,301,310.4,1512,44.9,86,0
H,298.8,309.9,1439,45.2,40,1
H,299.2,308.6,1462,55,163,0
L,303.4,312.8,1513,35.8,92,0
L,297.4,309.4,1473,45.5,94,0
L,298.3,309.1,1472,40.1,31,0
L,300.6,310.2,1318,51,8,0
H,301.9,309.8,1724,27.5,126,0
L,297.3,307.9,1628,30.2,80,0
L,303.8,313,1499,42.3,38,0
M,301.8,310.9,1358,52.3,56,0
L,302.9,312.3,1530,34.9,185,0
L,300.6,310.1,1297,50,130,0
L,299.5,309.3,1462,46.7,7,0
M,296.7,307.4,1540,38.7,45,0
L,300.5,311.1,1491,42.6,11,0
L,298.7,309.9,1464,38,74,0
M,302.4,311.8,1644,37.2,195,0
M,300.9,310.8,1790,26.2,191,0
M,297.9,307.7,1517,39.5,69,0
H,299.2,310.5,1329,48.9,30,0
L,299.4,308.7,1446,62.9,134,1
L,303.3,311.7,1508,35.5,217,0
M,296.8,307.9,1843,25.2,116,0
L,301.6,310.9,1706,29.5,193,0
M,298.2,308.9,1592,35.2,142,0
M,302.2,311.3,1658,31,2,0
L,297.1,308.5,1555,36.2,0,0
L,297.6,308.4,1353,57.5,88,0
M,298.9,309.8,1353,53.7,71,0
L,302.8,312.5,1694,28.4,66,0
L,297.2,308.7,1509,39.3,66,0
L,298.3,309.1,1387,52.3,160,0
M,301.9,310.5,1590,40.3,130,0
L,304.1,313.3,1459,50.3,39,0
M,299.1,310.1,1570,30.9,226,0
L,301.5,310.5,1535,39,204,0
L,301.4,310.6,1550,36.8,159,0
L,299.3,308.7,1408,48.7,85,0
L,302.4,310.2,1503,36.2,166,0
L,301.2,309.9,1643,32.9,171,0
L,300.9,310.8,1476,39,10,0
L,297.4,308.3,1632,33.5,39,0
M,299.6,310.8,1427,50.4,98,0
H,296.9,307.7,1656,30.8,181,0
L,296.5,307.6,1431,45.2,90,0
M,301.6,310.8,1343,49.5,140,0
L,299.8,309.2,1400,42.6,210,0
L,297.3,308.7,1352,53.8,91,0
M,302.4,310.1,1379,48.9,107,1
L,299.1,310.5,1532,36.6,62,0
M,299.7,310.9,1620,37.2,203,0
L,300.5,309.7,1580,42.8,196,0
L,297.9,307.8,1505,37.3,100,0
L,300.9,311.3,1613,32.7,170,0
M,304.2,313.6,1424,43.7,151,0
L,298,308.7,1268,69.4,189,1
M,300.6,309.5,1550,40.2,96,0
L,301,310.5,1932,21.7,79,0
L,302.1,310.7,1491,42.8,98,0
L,301.7,310.2,1331,61.2,47,1
L,300.6,310,1635,31,107,0
M,298.1,307.7,1424,47.7,103,0
L,298.4,308.6,1591,36.7,122,0
L,303.8,312.8,1503,40,154,0
L,299.6,309.2,1572,33.4,20,0
M,297.6,308.7,1475,46.6,54,0
M,299.2,308.4,1381,42.5,54,0
L,296.9,308,1713,29.3,13,0
L,300.7,310.5,1960,21,194,0
L,299,310.3,1428,46.3,175,0
L,301.3,310.7,1536,39.3,31,0
M,297.9,309.2,1529,38.1,96,0
L,298.5,309.3,1471,44.7,119,0
L,299.7,309.2,1478,38.8,199,0
L,302.1,311.2,1417,48,13,0
H,302.9,312.3,1509,46.8,175,0
L,304.1,313.3,1415,50,184,0
M,300.7,311,1413,44.3,72,0
L,299.5,308.8,1965,20.4,164,0
L,297.2,308.3,1576,35.3,113,0
L,304,313.1,1648,35.7,119,0
M,298.2,308.9,1512,38.5,28,0
L,301.3,311,1418,41.9,208,0
L,302.9,312.2,1367,55.1,50,0
L,298.3,309.3,1337,56.1,206,1
L,304.2,313.4,1568,37.6,25,0
L,300.4,311.4,1552,28.8,135,0
L,300.1,311.5,1499,43.4,65,0
L,297.6,308.3,1742,27.7,13,0
L,297.5,309.3,1732,29.9,32,0
L,300.6,309.4,1471,44.1,244,0
L,298.5,309.6,1724,26.4,100,0
L,297.4,308.5,1486,48.6,75,0
M,303.8,313.2,1732,29.6,147,0
L,301,310.7,1727,34.5,127,0
L,297.5,308.9,1554,34.8,204,0
L,297.3,308.7,1467,36.8,216,0
L,303.4,311.9,1491,38.2,26,0
L,299.2,310.4,1611,36.4,32,0
M,297.9,307.5,1647,30.8,212,0
L,296.2,307.2,1356,43.6,22,0
L,300.8,310.3,1383,46.6,19,0
L,300.7,310.1,1542,35.5,191,0
L,302.2,311.6,1872,20.4,202,0
M,303.5,313,1403,51.9,77,0
M,298.9,308.9,1679,28.7,181,0
L,300.5,309.9,1503,37.4,175,0
L,297.6,309,1528,33.8,22,0
L,300.7,309.5,1251,59.9,120,0
H,299.1,310,1431,49.5,205,0
M,298.1,308.1,1456,43.7,80,0
L,303.4,312.2,1337,69.4,52,1
L,300.7,311.9,1399,50.2,222,1
M,304.2,313.2,1396,50.5,11,0
L,298.1,307.5,1493,43.7,153,0
L,301.6,310.1,1694,26.3,14,0
M,302.6,312,1496,45,79,0
L,299.6,311,1708,31,122,0
L,297.4,308.6,1276,53.6,103,0
M,298.7,308.4,1430,49.6,135,0
L,300.9,310.8,1571,39.9,51,0
L,303.7,313,1753,29,42,0
M,299.7,309.6,1540,34.4,91,0
M,298.2,309.2,1332,60.2,147,0
M,301.8,310.8,1619,31,76,0
L,297.2,308.5,1518,44.3,163,0
L,297.2,308.5,2182,16.5,127,0
L,298,308.3,1544,34.7,213,0
L,299.6,309.2,1602,37.3,31,0
L,301.5,310.6,1405,42.3,83,0
L,300,311.5,1666,32,128,0
M,299.8,311.1,1498,38.1,176,0
L,296.3,307.4,1648,34,60,0
M,302.2,311.2,1360,52.8,176,0
L,296.8,307.6,1398,46.7,144,0
L,302.8,311.1,1563,32.2,78,0
M,299,310.3,1657,31,70,0
M,298.6,310,1541,36.9,12,0
L,297.1,307.8,1636,30.3,90,0
L,298.1,308.1,1616,32.8,65,0
M,298,308.7,1377,48.5,181,0
L,297.5,309.4,1650,34.6,142,0
L,298.2,307.6,1492,37.2,178,0
M,300.2,309.6,1491,41.8,41,0
L,297.5,309.3,1564,37.5,20,0
M,298,307.9,1479,47.6,76,0
L,302.6,312.1,1344,51,206,0
L,299.3,309,1734,30.6,154,0
L,296.2,307.1,1444,46.7,194,0
L,300.1,309.6,1760,25.4,55,0
L,299.1,310.5,1329,54.9,58,0
L,303.7,313,1811,24.3,209,0
M,300.1,311.5,1343,46.2,28,0
L,298.3,308.9,1695,30.7,174,0
M,298.5,309.3,1465,42.4,173,0
M,304,313.1,1450,42.8,101,0
L,301.5,310.7,1942,20.5,155,0
L,297.3,308.5,1350,57.6,186,0
H,302.7,312.1,1603,32.5,148,0
M,304.2,313.2,1380,48.7,17,0
L,303,311.2,1800,23.7,61,0
M,296.2,307.2,1389,48.6,7,0
H,300.2,311,1777,27.5,151,0
L,301.5,310.9,1580,32.3,11,0
L,302.8,311.1,1550,32.3,76,0
L,298.7,309.8,1402,54.3,128,0
